timestamp,anglesHipRightX,anglesHipRightY,anglesHipRightZ,anglesHipRightAbs,anglesHipLeftX,anglesHipLeftY,anglesHipLeftZ,anglesHipLeftAbs,anglesKneeRightX,anglesKneeRightY,anglesKneeRightZ,anglesKneeRightAbs,anglesKneeLeftX,anglesKneeLeftY,anglesKneeLeftZ,anglesKneeLeftAbs,anglesAnkleRightX,anglesAnkleRightY,anglesAnkleRightZ,anglesAnkleRightAbs,anglesAnkleLeftX,anglesAnkleLeftY,anglesAnkleLeftZ,anglesAnkleLeftAbs,anglesSpineMidX,anglesSpineMidY,anglesSpineMidZ,anglesSpineMidAbs,anglesShoulderRightX,anglesShoulderRightY,anglesShoulderRightZ,anglesShoulderRightAbs,anglesElbowRightX,anglesElbowRightY,anglesElbowRightZ,anglesElbowRightAbs,anglesElbowLeftX,anglesElbowLeftY,anglesElbowLeftZ,anglesElbowLeftAbs,positionsHipRightX,positionsHipRightY,positionsHipRightZ,positionsHipLeftX,positionsHipLeftY,positionsHipLeftZ,positionsKneeRightX,positionsKneeRightY,positionsKneeRightZ,positionsKneeLeftX,positionsKneeLeftY,positionsKneeLeftZ,positionsAnkleRightX,positionsAnkleRightY,positionsAnkleRightZ,positionsAnkleLeftX,positionsAnkleLeftY,positionsAnkleLeftZ,positionsSpineMidX,positionsSpineMidY,positionsSpineMidZ,positionsShoulderRightX,positionsShoulderRightY,positionsShoulderRightZ,positionsElbowRightX,positionsElbowRightY,positionsElbowRightZ,positionsElbowLeftX,positionsElbowLeftY,positionsElbowLeftZ,Right,Left
201711292157546329,-3.750852,-33.63239,6.55257,7.534216,-1.449906,-173.4711,-7.122122,7.267248,-0.2167146,-78.32774,-8.008446,7.997294,-3.159403,57.02424,5.062863,5.968318,80.75662,-162.84,-0.1112055,80.75252,58.73302,-158.2601,2.394276,58.74474,1.899496,86.38174,-0.01379989,1.899148,-6.382372,-78.23837,-21.48368,22.17492,58.94542,140.413,-62.60222,75.29042,56.95223,-137.8112,51.67553,69.85237,0.07088338,0.8546706,3.616208,-0.0649855,0.8549994,3.616208,0.1115417,0.5147442,3.638236,-0.1065205,0.5094103,3.624762,0.1034847,0.1254949,3.665074,-0.1177519,0.1499156,3.653632,0.001627072,1.157693,3.657562,0.1588569,1.344375,3.641305,0.2340246,1.150605,3.663336,-0.2343571,1.154916,3.6676,0,0,
201711292157546600,-3.745324,-35.08789,6.534618,7.516163,-1.463903,-174.9008,-7.12623,7.274138,-0.3100113,-76.62923,-7.883363,7.877076,-3.179921,57.11771,5.064831,5.980194,80.83667,-164.5543,-0.2837,80.83255,61.6844,-158.5495,2.71071,61.69794,1.895098,87.49725,-0.01999064,1.894807,-6.416208,-78.58113,-21.51931,22.21673,59.18408,140.8097,-63.35638,75.73851,56.9296,-138.3544,52.20036,70.07639,0.07121746,0.8546674,3.616272,-0.06466085,0.855022,3.616272,0.1117745,0.5148819,3.638219,-0.1061772,0.5095779,3.624874,0.104543,0.1273293,3.665522,-0.117372,0.1505776,3.653883,0.001930649,1.157734,3.657655,0.1591208,1.344347,3.641359,0.2343104,1.150558,3.663325,-0.2341124,1.154901,3.667802,0,0,
201711292157546840,-3.734915,-35.87786,6.519855,7.498288,-1.478102,-175.6678,-7.132258,7.282794,-0.3853264,-75.37436,-7.789863,7.78757,-3.175436,57.05571,5.064366,5.977013,80.89796,-165.8545,-0.4271295,80.89382,64.7776,-158.7202,3.047978,64.7932,1.894516,88.07223,-0.02327355,1.894285,-6.409667,-78.87262,-21.52018,22.21656,59.25677,140.999,-63.62716,75.89948,56.89439,-138.7385,52.59343,70.22297,0.07144459,0.854681,3.61636,-0.0644266,0.8550308,3.61636,0.1119351,0.5149778,3.638221,-0.1059368,0.5096684,3.625029,0.1053183,0.1287325,3.66586,-0.1171267,0.1509556,3.654042,0.002131817,1.157781,3.657756,0.1592983,1.344362,3.641364,0.2345271,1.150541,3.663354,-0.2339116,1.154699,3.66786,0,0,
201711292157547218,-3.718047,-35.75941,6.512402,7.48367,-1.476772,-175.6242,-7.134457,7.284677,-0.4345389,-75.09385,-7.766771,7.76616,-3.182808,56.98449,5.055851,5.97319,80.93662,-166.1851,-0.5411623,80.93204,67.26923,-158.7533,3.273475,67.28619,1.891524,87.83851,-0.02913314,1.891362,-6.401746,-79.06758,-21.50968,22.20492,59.4165,141.2046,-63.97556,76.13731,56.88763,-139.0258,52.88671,70.34079,0.07192331,0.8546841,3.616519,-0.06392092,0.8550408,3.616519,0.1123676,0.51501,3.63829,-0.1054182,0.5098926,3.625189,0.1058531,0.1286882,3.666176,-0.1166466,0.1519857,3.654179,0.002622828,1.157816,3.657896,0.1597586,1.344358,3.641388,0.2350796,1.150494,3.663463,-0.2334323,1.154523,3.668012,0,0,
201711292157547677,-3.702054,-36.17522,6.500409,7.465592,-1.486861,-176.044,-7.139781,7.291965,-0.4783554,-74.7813,-7.735298,7.736046,-3.184258,56.92177,5.056066,5.973749,80.96838,-166.5534,-0.6082191,80.96358,69.71888,-158.8685,3.538648,69.73744,1.888853,88.16402,-0.03360591,1.888743,-6.28371,-79.487,-21.48737,22.15895,59.51965,141.293,-64.32867,76.32988,56.67982,-139.0598,53.09014,70.28782,0.07338189,0.8546885,3.616658,-0.06245048,0.8550456,3.616658,0.1137502,0.5150465,3.638328,-0.1039605,0.5100756,3.625388,0.1073651,0.1288245,3.666396,-0.1151878,0.1530272,3.654369,0.004094558,1.157855,3.658036,0.1612491,1.34444,3.641588,0.2365746,1.15045,3.663515,-0.2318394,1.154542,3.667751,0,0,
201711292157547847,-3.692809,-36.31335,6.494355,7.455721,-1.492018,-176.1832,-7.144871,7.297767,-0.4968271,-75.11154,-7.754897,7.755966,-3.180564,56.90339,5.063191,5.977601,80.9838,-166.2493,-0.6129474,80.97878,71.97079,-158.9938,3.780748,71.99086,1.891047,88.42168,-0.03305367,1.890975,-6.146627,-79.68196,-21.4495,22.09385,59.21483,140.9455,-63.66254,75.88487,56.47897,-138.8873,53.11043,70.15282,0.07413317,0.8546679,3.616755,-0.06168906,0.855041,3.616755,0.1144621,0.5149737,3.638383,-0.1032207,0.5102414,3.625514,0.1078613,0.1283104,3.666533,-0.1144329,0.1535785,3.654461,0.004868208,1.157844,3.658133,0.1620149,1.34444,3.641673,0.237374,1.150337,3.663584,-0.2309358,1.154557,3.667371,0,0,
201711292157548203,-3.674504,-36.88288,6.494567,7.447039,-1.50131,-176.8238,-7.146617,7.301308,-0.5268697,-75.80225,-7.800664,7.802537,-3.151202,56.8364,5.074953,5.972507,81.00125,-165.6766,-0.5782288,80.99602,73.89338,-159.0735,3.995416,73.9147,1.893608,89.20224,-0.03359209,1.893568,-6.108586,-79.70836,-21.47865,22.11344,59.19345,140.8075,-63.49693,75.80608,56.47514,-138.8597,53.26472,70.2121,0.07509936,0.8546469,3.616853,-0.06072348,0.8550353,3.616853,0.1154208,0.5148786,3.638367,-0.102271,0.510371,3.625657,0.1084445,0.1275852,3.666623,-0.113428,0.1539541,3.654429,0.005859117,1.157846,3.658241,0.1629887,1.344436,3.641769,0.2384411,1.150384,3.663725,-0.2299548,1.154726,3.667286,0,0,
201711292157548554,-3.629895,-36.33694,6.510198,7.439403,-1.51045,-176.5151,-7.146473,7.302959,-0.5631825,-76.47025,-7.84016,7.843615,-3.051266,56.33161,5.076282,5.924776,80.99847,-165.3417,-0.5174322,80.9933,75.5899,-158.7577,4.253079,75.61295,1.902567,89.0884,-0.03408782,1.902559,-6.083063,-79.68003,-21.5269,22.15346,59.22375,140.702,-63.3465,75.76073,56.1329,-137.9516,52.15759,69.53812,0.07564458,0.8546262,3.61695,-0.0601875,0.8549882,3.61695,0.1160423,0.5149634,3.638201,-0.1017432,0.5103638,3.625827,0.1088717,0.1276976,3.666399,-0.1129188,0.1534274,3.654037,0.006414851,1.157817,3.65832,0.1635379,1.344384,3.641872,0.2390831,1.150334,3.663942,-0.2293863,1.155028,3.667192,0,0,
201711292157548835,-3.609279,-38.63334,6.513651,7.432476,-1.526238,-105.9871,-7.144927,7.30465,-0.5846152,-77.04534,-7.865631,7.86995,-3.013634,56.02565,5.068683,5.89873,80.99706,-164.9674,-0.4728148,80.99191,77.07289,-158.5735,4.470257,77.0975,1.893363,91.83389,-0.02877466,1.893378,-6.05902,-79.55334,-21.54389,22.16524,59.39695,140.8271,-63.60679,75.96394,56.33162,-137.7888,52.36096,69.72755,0.07633424,0.8546124,3.617018,-0.05951687,0.8549516,3.617018,0.1167331,0.5148447,3.638092,-0.101093,0.5103649,3.625929,0.1093614,0.1276001,3.666209,-0.1123445,0.1534304,3.653922,0.007129867,1.157798,3.658442,0.1642194,1.344341,3.641925,0.2398068,1.150334,3.66407,-0.2286386,1.155268,3.666992,0,0,
201711292157549266,-3.572406,-40.16592,6.494639,7.39821,-1.544415,-35.78662,-7.137466,7.30116,-0.6131514,-77.38727,-7.850213,7.855858,-2.992625,55.77402,5.054037,5.87493,80.98992,-164.8109,-0.5664612,80.98428,78.7263,-158.4823,4.589071,78.75162,1.890364,93.65326,-0.02845988,1.890408,-5.979669,-79.73756,-21.59988,22.20259,59.69419,141.2393,-64.16228,76.37389,55.96206,-136.9131,51.52678,69.14424,0.07851593,0.8545968,3.617099,-0.05739696,0.8549368,3.617099,0.1187771,0.5147927,3.637913,-0.09894302,0.5103891,3.626084,0.111343,0.1273916,3.665921,-0.1102619,0.1534723,3.654007,0.009330444,1.157794,3.658562,0.1664086,1.344292,3.641921,0.2420844,1.150422,3.664317,-0.2264702,1.155797,3.666711,0,0,
201711292157549437,-3.543539,-40.7006,6.488461,7.379011,-1.54555,12.56024,-7.136188,7.299959,-0.6383684,-77.90318,-7.867596,7.875264,-2.978264,55.74186,5.054105,5.867158,80.98694,-164.495,-0.5519269,80.9812,79.55406,-158.4782,4.680373,79.57997,1.891488,94.38227,-0.0276019,1.891546,-5.916115,-79.94175,-21.64983,22.2373,59.45504,140.9749,-63.53685,75.98397,56.1703,-136.5792,51.6709,69.31429,0.07888908,0.8545906,3.617113,-0.05706297,0.8549409,3.617113,0.1191297,0.5146937,3.63774,-0.09859221,0.5104039,3.626076,0.1115347,0.1271555,3.665694,-0.1099066,0.153198,3.653911,0.009690122,1.157798,3.658595,0.1667863,1.344237,3.641892,0.2424612,1.150258,3.664369,-0.2261335,1.156264,3.666414,0,0,
