timestamp,anglesHipRightX,anglesHipRightY,anglesHipRightZ,anglesHipRightAbs,anglesHipLeftX,anglesHipLeftY,anglesHipLeftZ,anglesHipLeftAbs,anglesKneeRightX,anglesKneeRightY,anglesKneeRightZ,anglesKneeRightAbs,anglesKneeLeftX,anglesKneeLeftY,anglesKneeLeftZ,anglesKneeLeftAbs,anglesAnkleRightX,anglesAnkleRightY,anglesAnkleRightZ,anglesAnkleRightAbs,anglesAnkleLeftX,anglesAnkleLeftY,anglesAnkleLeftZ,anglesAnkleLeftAbs,anglesSpineMidX,anglesSpineMidY,anglesSpineMidZ,anglesSpineMidAbs,anglesShoulderRightX,anglesShoulderRightY,anglesShoulderRightZ,anglesShoulderRightAbs,anglesElbowRightX,anglesElbowRightY,anglesElbowRightZ,anglesElbowRightAbs,anglesElbowLeftX,anglesElbowLeftY,anglesElbowLeftZ,anglesElbowLeftAbs,positionsHipRightX,positionsHipRightY,positionsHipRightZ,positionsHipLeftX,positionsHipLeftY,positionsHipLeftZ,positionsKneeRightX,positionsKneeRightY,positionsKneeRightZ,positionsKneeLeftX,positionsKneeLeftY,positionsKneeLeftZ,positionsAnkleRightX,positionsAnkleRightY,positionsAnkleRightZ,positionsAnkleLeftX,positionsAnkleLeftY,positionsAnkleLeftZ,positionsSpineMidX,positionsSpineMidY,positionsSpineMidZ,positionsShoulderRightX,positionsShoulderRightY,positionsShoulderRightZ,positionsElbowRightX,positionsElbowRightY,positionsElbowRightZ,positionsElbowLeftX,positionsElbowLeftY,positionsElbowLeftZ,Right,Left
201711292200510285,-7.336183,-91.15752,7.700173,10.31251,-8.202143,122.2374,-7.511539,11.0562,-5.244939,-155.1357,-28.11665,28.11651,-2.635221,98.65475,9.746914,10.05922,65.13987,-131.9316,13.6219,65.75842,170.177,124.9386,181.5742,166.321,2.510226,8.228542,0.09535582,2.50581,-9.697148,138.0519,-13.58865,16.61547,30.15099,111.4332,-12.9293,32.65368,27.36517,-100.4177,5.609355,27.59943,0.3816633,0.8496128,3.484093,0.2545079,0.8428441,3.484093,0.4290822,0.5417806,3.495109,0.2189393,0.5333585,3.499675,0.3854525,0.4348604,3.50899,0.235231,0.2061506,3.53108,0.3162768,1.115666,3.541068,0.4484272,1.267083,3.542499,0.4915006,1.036439,3.555727,0.1187838,1.055822,3.575619,0,0
201711292200510623,-7.128507,-89.13736,7.968955,10.31225,-7.965932,121.7671,-7.543623,10.89249,-5.361803,-157.8397,-29.07903,29.02073,-2.768823,97.32362,9.573805,9.924445,53.09952,-139.519,14.90526,55.81779,174.8507,126.5005,192.6132,171.1643,2.534765,8.502462,0.1080292,2.530283,-9.548799,138.5154,-13.67854,16.60194,29.99004,111.7504,-12.86022,32.47295,27.77615,-101.2416,5.967419,28.07389,0.3706301,0.8495476,3.485069,0.2435216,0.8428638,3.485069,0.4192846,0.5418228,3.495858,0.2077748,0.5333341,3.500261,0.3743011,0.4368386,3.509684,0.2234228,0.200739,3.532357,0.3052447,1.11565,3.541298,0.437716,1.26717,3.542618,0.4803929,1.03791,3.555921,0.107976,1.056775,3.574684,0,0
201711292200510773,-6.98125,-88.32097,7.998709,10.23345,-7.781526,121.8379,-7.49708,10.7244,-5.300758,-158.5205,-29.33826,29.26764,-2.833647,96.23304,9.381618,9.757484,56.56507,-136.9287,14.25463,58.61779,176.2538,128.7261,196.7338,172.869,2.504732,8.579041,0.1096243,2.500585,-9.474237,138.7344,-13.72005,16.58951,29.45349,110.6297,-12.77172,31.9435,28.09262,-101.865,6.201102,28.43396,0.3638422,0.8494579,3.485564,0.2367528,0.842885,3.485564,0.4125027,0.5416966,3.496219,0.2012976,0.5332791,3.500426,0.3672958,0.4366298,3.509854,0.2164622,0.1994928,3.532594,0.298444,1.115612,3.541303,0.4312475,1.267274,3.542796,0.4735388,1.037839,3.554983,0.1016066,1.057502,3.573679,0,0
201711292200511215,-6.820974,-87.04663,8.218135,10.22027,-7.482131,120.7165,-7.665745,10.61148,-5.089368,-161.1993,-30.17202,29.9899,-3.023516,95.8353,9.429034,9.849079,44.07564,-148.165,15.34906,48.7185,110.8934,114.7663,201.0392,172.8042,2.512467,8.844715,0.1234994,2.508236,-9.159177,138.7541,-13.7627,16.44933,29.09332,110.4967,-12.61343,31.55285,28.75417,-102.6931,6.620698,29.16958,0.3502263,0.849251,3.486759,0.2231379,0.8429003,3.486759,0.399693,0.5416206,3.497792,0.1866219,0.5333352,3.501193,0.3534638,0.4393497,3.510766,0.2014849,0.193843,3.534359,0.2848635,1.115463,3.541444,0.4181893,1.267425,3.542943,0.4600522,1.038522,3.554891,0.08837265,1.057665,3.572138,0,0
201711292200511510,-6.725185,-86.84884,8.27136,10.18965,-7.254135,119.9119,-7.739986,10.49842,-4.901322,-161.6401,-30.39288,30.17777,-3.165056,95.89731,9.457456,9.915524,34.63361,-155.2782,16.72905,41.59649,119.992,120.344,206.6752,174.5606,2.470576,8.871507,0.1210551,2.466539,-9.020512,138.6111,-13.75941,16.36659,28.59684,109.5535,-12.29101,30.97464,29.36148,-103.646,6.956191,29.83963,0.3430901,0.8490781,3.487235,0.2159932,0.8429086,3.487235,0.3925613,0.5414746,3.498525,0.1789706,0.5333225,3.501187,0.3462372,0.4393589,3.511158,0.1937616,0.1927077,3.534705,0.2777848,1.115378,3.541339,0.4114639,1.267483,3.542855,0.4529435,1.038567,3.554224,0.08175203,1.057855,3.570825,0,0
201711292200511896,-6.610006,-86.3482,8.399728,10.17881,-7.008189,119.0516,-7.750619,10.32052,-4.806556,-162.6302,-30.78217,30.52045,-3.346061,95.22057,9.37534,9.887446,39.32983,-152.6567,15.46163,45.05552,128.4182,125.593,214.8794,177.5267,2.442819,8.996263,0.1157304,2.438746,-8.795749,138.2579,-13.7634,16.24422,28.20408,109.3649,-12.16218,30.56494,29.72427,-104.6024,7.446393,30.31336,0.335012,0.8488471,3.487826,0.207895,0.8429174,3.487826,0.3847689,0.5413046,3.499376,0.1706784,0.5332765,3.501302,0.3381984,0.4403144,3.511769,0.1851218,0.189967,3.535497,0.2698149,1.115297,3.541233,0.4039342,1.267513,3.542385,0.4450606,1.038558,3.553439,0.074266,1.0583,3.568975,0,0
201711292200512367,-6.497709,-86.19728,8.488222,10.14235,-6.766699,118.7323,-7.569267,10.01341,-4.636689,-163.5544,-31.11432,30.7997,-3.510293,92.88353,9.013799,9.592274,28.09309,-163.1244,16.69614,36.43194,136.7063,132.1287,223.5131,180.5874,2.402263,8.987075,0.1076642,2.398223,-8.427497,137.0208,-13.75278,16.03551,27.75218,109.3126,-12.18023,30.15988,29.83523,-105.0035,7.95609,30.55322,0.3273519,0.8485931,3.488246,0.2001996,0.8429279,3.488246,0.3770093,0.5410689,3.500136,0.16382,0.5331515,3.501341,0.3303393,0.4413365,3.512138,0.1773156,0.1872558,3.536175,0.2623502,1.115181,3.540907,0.3968538,1.267564,3.541774,0.4376311,1.038366,3.552337,0.06716876,1.05871,3.566489,0,0
201711292200512538,-6.45492,-87.18061,8.352287,10.06955,-6.664471,119.2885,-7.221121,9.712946,-4.672419,-161.5927,-30.73305,30.48909,-3.299226,96.64121,9.095408,9.618154,36.86568,-154.7568,15.93366,43.64593,113.6868,70.07845,176.9758,153.3859,2.316728,8.81917,0.08227468,2.313307,-8.155925,135.3884,-13.66722,15.82429,27.59684,109.0655,-12.41508,30.10109,29.49942,-104.5174,8.14524,30.29606,0.3276546,0.8484674,3.487754,0.2004951,0.8429131,3.487754,0.3764036,0.540814,3.499552,0.1659607,0.5329146,3.500473,0.3304926,0.439145,3.51183,0.180163,0.211164,3.531868,0.2627866,1.115153,3.540392,0.3972484,1.267618,3.541217,0.4378977,1.037682,3.551077,0.06782486,1.058586,3.564608,0,0
201711292200512808,-6.408351,-87.87806,8.243767,9.98537,-6.543618,119.7908,-6.950739,9.446129,-4.855391,-153.6767,-27.9367,27.8836,-3.417082,93.56717,8.609181,9.209122,-2.729855,-135.008,-11.23073,55.40807,122.2532,83.93706,182.5197,156.2381,2.247241,8.798657,0.06141744,2.244274,-7.85953,134.0958,-13.61191,15.62448,27.61453,108.9992,-12.77515,30.24726,29.24365,-104.1372,8.366554,30.1187,0.3244351,0.8483076,3.487573,0.1972507,0.842915,3.487573,0.3723476,0.540557,3.499509,0.1641226,0.5327559,3.500045,0.3303257,0.4144289,3.515625,0.177205,0.2098385,3.531921,0.2596617,1.115102,3.539949,0.3941959,1.267688,3.540694,0.4346881,1.0369,3.549815,0.06499669,1.058483,3.56251,0,0
201711292200513175,-6.418035,-88.83949,8.105521,9.912232,-6.355348,120.1953,-6.615069,9.085938,-4.951096,-146.0063,-25.39433,25.48789,-3.425444,94.78812,8.439705,9.047729,25.88565,-132.0149,-45.01319,75.2247,113.5332,91.73058,151.0353,142.683,2.181729,8.878872,0.04138823,2.179206,-7.516077,132.8981,-13.57064,15.41405,27.74703,109.3381,-13.09452,30.4798,28.95936,-103.7121,8.631438,29.92627,0.3188016,0.848051,3.487504,0.1915621,0.8428981,3.487504,0.365708,0.540239,3.49997,0.1602653,0.5325007,3.499413,0.3272581,0.392372,3.519518,0.1731992,0.2283788,3.52912,0.2540435,1.11505,3.539557,0.3886913,1.267779,3.540246,0.4289948,1.036227,3.548995,0.05962589,1.058371,3.560277,0,0
