timestamp,anglesHipRightX,anglesHipRightY,anglesHipRightZ,anglesHipRightAbs,anglesHipLeftX,anglesHipLeftY,anglesHipLeftZ,anglesHipLeftAbs,anglesKneeRightX,anglesKneeRightY,anglesKneeRightZ,anglesKneeRightAbs,anglesKneeLeftX,anglesKneeLeftY,anglesKneeLeftZ,anglesKneeLeftAbs,anglesAnkleRightX,anglesAnkleRightY,anglesAnkleRightZ,anglesAnkleRightAbs,anglesAnkleLeftX,anglesAnkleLeftY,anglesAnkleLeftZ,anglesAnkleLeftAbs,anglesSpineMidX,anglesSpineMidY,anglesSpineMidZ,anglesSpineMidAbs,anglesShoulderRightX,anglesShoulderRightY,anglesShoulderRightZ,anglesShoulderRightAbs,anglesElbowRightX,anglesElbowRightY,anglesElbowRightZ,anglesElbowRightAbs,anglesElbowLeftX,anglesElbowLeftY,anglesElbowLeftZ,anglesElbowLeftAbs,positionsHipRightX,positionsHipRightY,positionsHipRightZ,positionsHipLeftX,positionsHipLeftY,positionsHipLeftZ,positionsKneeRightX,positionsKneeRightY,positionsKneeRightZ,positionsKneeLeftX,positionsKneeLeftY,positionsKneeLeftZ,positionsAnkleRightX,positionsAnkleRightY,positionsAnkleRightZ,positionsAnkleLeftX,positionsAnkleLeftY,positionsAnkleLeftZ,positionsSpineMidX,positionsSpineMidY,positionsSpineMidZ,positionsShoulderRightX,positionsShoulderRightY,positionsShoulderRightZ,positionsElbowRightX,positionsElbowRightY,positionsElbowRightZ,positionsElbowLeftX,positionsElbowLeftY,positionsElbowLeftZ,Right,Left
201610051558546010,1.730484,106.937,8.068751,8.295302,0.6520553,-77.85924,-8.842316,8.866799,-10.93745,-88.82765,-6.126677,12.54188,-7.916475,67.67614,5.318013,9.537305,65.71095,141.1403,6.537631,65.68534,62.09878,-141.2389,-16.39856,61.99223,1.86923,-10.89261,-0.1738162,1.877392,3.157558,-100.1282,-11.02698,11.46505,14.31988,83.74123,-13.35928,19.48533,15.19351,-77.93955,9.045097,17.62678,0.547857,0.799358,3.956112,0.4048899,0.7926646,3.956112,0.5925764,0.481581,3.947594,0.3617821,0.5165324,3.953836,0.6044329,0.119204,4.007279,0.3384845,0.1408912,4.002456,0.4802898,1.071239,3.988832,0.6285174,1.25594,3.979159,0.6908672,0.9924203,3.972201,0.272962,1.006405,3.972571,0,0,
201610051558546384,1.777017,106.931,8.203007,8.4247,0.6866573,-77.00766,-8.773781,8.801536,-10.78393,-89.03481,-6.314108,12.5034,-8.250707,68.30112,5.206633,9.769084,65.11089,145.7753,6.789503,65.08202,62.53907,-139.3467,-19.42454,62.50407,1.87198,-11.02321,-0.1855932,1.881338,3.164155,-100.2256,-11.02419,11.4636,13.91913,82.19352,-13.00745,18.95737,15.29126,-77.96694,8.998436,17.67732,0.5519964,0.7990034,3.956274,0.4088047,0.7927474,3.956274,0.5969849,0.4853323,3.947667,0.3660812,0.5167103,3.953969,0.6086718,0.118079,4.006944,0.3427387,0.1449156,4.00437,0.4843556,1.071156,3.988809,0.6342394,1.255909,3.979811,0.6950106,0.993181,3.971646,0.2771041,1.006518,3.972607,0,0,
201610051558546680,1.833073,108.4914,8.283805,8.505823,0.7343457,-75.32072,-8.757817,8.789944,-10.65557,-89.1125,-6.396938,12.42949,-8.352236,69.08787,5.27137,9.882534,64.31393,149.6517,6.874098,64.28024,63.19614,-138.129,-22.27353,63.23712,1.87362,-12.31651,-0.195014,1.883929,3.243021,-100.3906,-11.05381,11.51415,13.77949,80.92953,-12.37934,18.45409,15.15049,-77.94666,9.097752,17.60856,0.5547981,0.7987553,3.956125,0.4114119,0.7928292,3.956125,0.5997454,0.4887394,3.947387,0.3687079,0.516612,3.953716,0.6115477,0.1171751,4.006279,0.345931,0.1458346,4.004608,0.4871406,1.071116,3.988487,0.6390215,1.255957,3.979476,0.6974766,0.9941493,3.971049,0.2797782,1.006705,3.97207,0,0,
201610051558547021,1.883181,108.8153,8.376145,8.597836,0.7966392,-75.00496,-8.762199,8.800329,-10.57279,-89.37126,-6.521737,12.41763,-8.50272,69.96912,5.332079,10.03589,63.68464,153.0851,7.35139,63.65231,63.13963,-137.4687,-23.67521,63.23566,1.874825,-12.75335,-0.2100897,1.886831,3.290935,-100.8026,-11.09549,11.56709,13.62241,78.6189,-11.59993,17.85267,15.05395,-78.12782,9.219688,17.58952,0.5548371,0.798586,3.95616,0.4112936,0.792889,3.95616,0.5999221,0.4916376,3.947269,0.3685777,0.5167465,3.953532,0.6116483,0.1163878,4.005997,0.3462769,0.1475918,4.004997,0.4871238,1.071079,3.988415,0.6394446,1.255959,3.979634,0.6961209,0.9963002,3.970926,0.2796909,1.006863,3.971683,0,0,
201610051558547326,1.927982,109.3012,8.448689,8.671144,0.8306673,-74.85493,-8.747963,8.789104,-10.53273,-89.50105,-6.594627,12.41483,-8.590809,70.66617,5.381245,10.13108,63.21027,155.8852,7.610157,63.17525,63.94168,-136.3235,-26.47943,64.11395,1.867616,-13.17853,-0.2181979,1.880527,3.327814,-101.084,-11.12489,11.60517,13.66927,77.56767,-11.3272,17.71263,14.93453,-78.25803,9.330782,17.54728,0.5547296,0.7984529,3.956145,0.4110485,0.7928996,3.956145,0.5998896,0.4940403,3.947102,0.3684362,0.516983,3.953409,0.6117337,0.1159551,4.005825,0.3465551,0.147735,4.005394,0.4869726,1.071048,3.988335,0.6390895,1.255909,3.979979,0.6955093,0.9975616,3.971154,0.2794597,1.006948,3.971296,0,0,
201610051558547672,1.62901,105.1403,8.133075,8.310293,0.8638222,-77.20136,-8.746784,8.790822,-10.20513,-86.68642,-6.132748,11.90571,-8.565452,71.29095,5.456998,10.14609,62.67997,157.6232,7.677854,62.62877,64.0738,-136.3615,-27.04655,64.26025,1.857875,-11.43841,-0.2285262,1.872016,3.319795,-101.6383,-11.16985,11.64546,13.68568,77.81393,-11.71365,17.97625,14.86631,-78.50881,9.43464,17.54323,0.5554079,0.7979265,3.956402,0.4115007,0.7928753,3.956402,0.5999748,0.4840474,3.94898,0.3690173,0.5174173,3.953498,0.6124867,0.115561,4.006036,0.3475754,0.1452174,4.005499,0.4874958,1.070848,3.988595,0.63919,1.255766,3.980608,0.6972349,0.9944611,3.970939,0.2799052,1.007101,3.97136,0,0,
201610051558548000,2.189774,108.7641,8.412727,8.740522,0.8768948,-76.71613,-8.746453,8.791319,-10.98742,-90.3759,-6.503093,12.75383,-8.534182,71.93802,5.556173,10.17034,62.49245,160.7775,7.805172,62.44497,64.36378,-136.3643,-27.95477,64.57888,1.854375,-12.27757,-0.2338036,1.869072,3.318866,-101.8464,-11.18705,11.66116,14.17216,77.85587,-11.5725,18.26156,14.80126,-78.6941,9.522737,17.53403,0.5539327,0.7975106,3.956603,0.4098838,0.7927513,3.956603,0.5989896,0.4910125,3.946336,0.3674378,0.5175242,3.953583,0.6111084,0.1154291,4.006196,0.3465471,0.1428441,4.005565,0.4859477,1.070645,3.988867,0.637605,1.255683,3.980662,0.6948667,0.9946839,3.971087,0.2782781,1.007149,3.971391,0,0,
201610051558548310,2.390081,117.6356,8.57728,8.940221,0.8469136,-69.31387,-8.708282,8.75028,-11.32435,-92.03352,-6.69074,13.13062,-8.435292,71.79292,5.561741,10.08706,62.16348,163.6335,7.162755,62.11423,62.83042,-137.3194,-25.68313,63.01395,1.861409,-19.39632,-0.2361564,1.876258,3.277987,-101.1948,-11.18441,11.64707,14.22468,77.923,-11.75646,18.41103,14.96037,-78.27875,9.35384,17.57989,0.5544822,0.7971931,3.956344,0.4102408,0.7926391,3.956344,0.5999757,0.4936601,3.944906,0.3679032,0.5174922,3.953384,0.6119143,0.1156521,4.006047,0.3472227,0.1439562,4.004632,0.4865243,1.070464,3.988714,0.6377808,1.255552,3.980477,0.6952128,0.9946068,3.970369,0.2787462,1.007137,3.971241,0,0,
201610051558548670,2.390669,125.1394,8.620701,8.971642,0.8143606,-62.09994,-8.659715,8.698741,-11.32205,-92.00327,-6.672507,13.11408,-8.362033,71.9456,5.593598,10.04021,61.78399,165.7536,6.483675,61.72959,61.96237,-137.8051,-24.73585,62.14896,1.866125,-26.18151,-0.2381243,1.881101,3.252366,-100.6214,-11.19121,11.64615,14.30891,78.61759,-12.10354,18.69316,14.91401,-78.46804,9.416644,17.57187,0.5541346,0.796913,3.95623,0.4097602,0.7925249,3.95623,0.5995751,0.4950205,3.944692,0.3676075,0.5175903,3.953352,0.6119006,0.1155622,4.005949,0.3473063,0.1435571,4.004294,0.4862241,1.070307,3.988688,0.6371238,1.255436,3.980421,0.6950392,0.9947748,3.970111,0.278374,1.007104,3.971109,0,0,
201610051558548991,2.461107,132.549,8.788594,9.141708,0.7760677,-55.43834,-8.604919,8.640628,-11.40369,-92.58582,-6.843088,13.26659,-8.291723,72.17986,5.633244,10.00138,61.58544,167.4569,6.235041,61.52909,61.39159,-138.8689,-23.43274,61.56236,1.866795,-32.59348,-0.2374456,1.881639,3.204117,-99.88097,-11.2141,11.65495,14.33344,79.53023,-12.51265,18.97578,14.90578,-79.00587,9.565306,17.64371,0.5538865,0.7967011,3.956098,0.4094151,0.7923946,3.956098,0.5997244,0.4979317,3.944157,0.3674751,0.517655,3.953332,0.6120241,0.1155732,4.00586,0.3476118,0.1424088,4.004125,0.4860436,1.070175,3.988638,0.6366411,1.255348,3.98035,0.6950607,0.9950286,3.969874,0.2780685,1.007211,3.971072,0,0,
