timestamp,anglesHipRightX,anglesHipRightY,anglesHipRightZ,anglesHipRightAbs,anglesHipLeftX,anglesHipLeftY,anglesHipLeftZ,anglesHipLeftAbs,anglesKneeRightX,anglesKneeRightY,anglesKneeRightZ,anglesKneeRightAbs,anglesKneeLeftX,anglesKneeLeftY,anglesKneeLeftZ,anglesKneeLeftAbs,anglesAnkleRightX,anglesAnkleRightY,anglesAnkleRightZ,anglesAnkleRightAbs,anglesAnkleLeftX,anglesAnkleLeftY,anglesAnkleLeftZ,anglesAnkleLeftAbs,anglesSpineMidX,anglesSpineMidY,anglesSpineMidZ,anglesSpineMidAbs,anglesShoulderRightX,anglesShoulderRightY,anglesShoulderRightZ,anglesShoulderRightAbs,anglesElbowRightX,anglesElbowRightY,anglesElbowRightZ,anglesElbowRightAbs,anglesElbowLeftX,anglesElbowLeftY,anglesElbowLeftZ,anglesElbowLeftAbs,positionsHipRightX,positionsHipRightY,positionsHipRightZ,positionsHipLeftX,positionsHipLeftY,positionsHipLeftZ,positionsKneeRightX,positionsKneeRightY,positionsKneeRightZ,positionsKneeLeftX,positionsKneeLeftY,positionsKneeLeftZ,positionsAnkleRightX,positionsAnkleRightY,positionsAnkleRightZ,positionsAnkleLeftX,positionsAnkleLeftY,positionsAnkleLeftZ,positionsSpineMidX,positionsSpineMidY,positionsSpineMidZ,positionsShoulderRightX,positionsShoulderRightY,positionsShoulderRightZ,positionsElbowRightX,positionsElbowRightY,positionsElbowRightZ,positionsElbowLeftX,positionsElbowLeftY,positionsElbowLeftZ,Right,Left
201610051557397065,70.00401,39.53239,-69.68275,69.43992,170.5939,-108.9622,158.5101,163.3971,-139.7189,-42.03561,126.7921,168.7204,-138.9721,87.79932,112.0372,163.175,166.8474,156.4344,-113.5446,156.5766,45.19009,-38.9768,2.060764,50.33214,1.390367,-9.402002,0.9363449,3.308591,114.7085,7.429361,-68.36562,108.0078,130.0782,-16.50409,11.03373,135.536,15.62347,13.47077,-0.8332285,15.95807,-0.9078307,0.4783903,3.231985,-0.9897015,0.4902207,3.231985,-1.045433,0.452598,3.080279,-0.9374914,0.7107886,3.257278,-0.8730869,0.4418038,3.282329,-1.019311,0.4665924,3.158772,-0.9508753,0.6227194,3.287463,-0.8346744,0.7036238,3.299019,-0.8068106,0.7681122,3.220006,-1.023851,0.7950538,3.180335,2,0,
201610051557397403,64.86888,37.73041,-68.48512,65.64285,166.9059,-105.0214,164.3392,160.7277,-150.5249,8.32346,137.8963,169.7131,-141.8339,92.76996,131.2871,161.7039,181.5174,155.4077,-112.1122,155.2742,42.6284,-43.71917,14.47599,50.87224,0.4726133,-10.34066,2.143897,3.844643,112.1061,6.205854,-83.57748,106.0936,113.5792,-41.51559,24.86312,127.9914,13.70927,12.54565,0.1518629,14.28578,-1.152196,0.4800701,3.258233,-1.229909,0.4882545,3.258233,-1.285709,0.448556,3.096333,-1.175965,0.7117983,3.279808,-1.110659,0.4427876,3.318538,-1.256952,0.467755,3.173692,-1.193842,0.6160684,3.32207,-1.078521,0.6992189,3.335573,-1.03796,0.7698471,3.272204,-1.263325,0.7979762,3.195974,2,0,
201610051557397704,63.19644,37.54704,-66.9185,64.5158,168.5928,-102.8796,165.2673,158.9153,-159.6571,52.25378,145.368,170.3609,-145.2236,100.2594,75.28616,160.5462,190.2009,151.3312,-101.9066,150.7406,40.55387,-48.78315,30.32549,53.49012,2.449778,-5.595654,2.133768,5.298709,115.0353,11.9823,-27.86684,110.1087,99.24733,-69.57054,45.76458,129.7959,11.75078,11.66305,1.752206,12.74577,-1.535116,0.4822806,3.154897,-1.609425,0.4845032,3.154897,-1.654033,0.445311,2.978985,-1.5451,0.7066423,3.182089,-1.493653,0.4439399,3.222781,-1.619796,0.4653239,3.062167,-1.581349,0.6159468,3.217992,-1.470663,0.6988067,3.246168,-1.409753,0.7664801,3.193258,-1.637273,0.8004146,3.077339,2,0,
201610051557398064,63.39441,37.88784,-66.39314,64.93679,164.8474,-82.29205,170.0184,156.4752,-165.6436,91.55958,144.4987,168.5299,-143.0753,88.19941,97.95828,154.7183,180.7228,136.1539,-79.01529,135.2574,39.64487,-52.918,43.85643,55.95908,3.215573,-9.704771,2.871276,5.914579,117.8382,8.746703,-53.41198,113.882,115.0952,-94.92686,72.2634,138.2661,10.29006,11.30136,3.667932,11.78758,-1.911942,0.4826809,3.012293,-1.984769,0.4775723,3.012293,-2.01654,0.4432962,2.823975,-1.926267,0.7006333,3.017973,-1.880846,0.4346169,3.067305,-1.990388,0.4582481,2.890191,-1.962756,0.6149447,3.071947,-1.857663,0.6984319,3.115176,-1.800041,0.7204365,3.055109,-2.005919,0.802511,2.919137,2,0,
201610051557398364,63.55843,49.91763,-64.42068,65.71998,158.958,-48.71246,102.4533,152.2392,-167.1073,50.34122,145.1577,165.1814,-137.4393,75.55032,111.5417,145.2283,184.7756,134.0118,-68.81586,132.0373,40.78596,-55.76011,53.7352,57.70983,2.773575,-15.76632,3.120768,5.510184,118.4713,13.355,-75.69064,115.3717,124.3929,-114.02,90.28207,140.6953,10.76101,11.91153,6.031387,12.74428,-1.971626,0.4908244,3.067557,-2.043281,0.4790677,3.067557,-2.072693,0.4425914,2.875048,-2.002871,0.6922021,3.03741,-1.944651,0.4279113,3.10883,-2.067928,0.4487717,2.908954,-2.024231,0.6186973,3.119422,-1.929258,0.7070006,3.174831,-1.86862,0.6997535,3.102247,-2.07354,0.8051315,2.962425,5,0,
201610051557398754,64.52952,57.83452,-64.78718,67.28238,153.2641,-20.42242,40.66274,148.0758,-171.3695,15.12607,149.5095,163.7897,-132.6425,63.9467,123.636,136.6141,190.2726,134.3566,-70.12637,131.2785,41.97146,-57.33384,61.48708,58.85352,1.737429,-16.1242,2.613642,5.121822,118.0412,19.79663,-20.13166,115.7777,132.6745,-61.94859,108.9222,144.2895,10.94274,12.28193,8.13772,13.36864,-2.031669,0.4981557,3.122151,-2.101789,0.4802991,3.122151,-2.129597,0.4464987,2.923721,-2.078299,0.6852514,3.05984,-2.007094,0.4286208,3.149083,-2.144404,0.4409535,2.930425,-2.086587,0.6224007,3.168322,-1.994408,0.719008,3.231974,-1.926394,0.6881639,3.147581,-2.140963,0.8078238,3.005981,5,0,
201610051557399034,61.79251,51.45718,-62.83347,64.77208,144.7605,-9.276314,-7.153767,140.4052,-165.8135,-16.96351,145.5584,156.9293,-129.1414,53.81234,131.2273,129.7138,193.8033,135.1089,-26.8871,133.3855,44.51461,-58.13229,63.39923,60.0799,3.011595,-10.32836,1.145041,6.138955,116.4386,18.34087,-44.99091,114.8132,139.0634,-14.98984,122.2168,147.3832,11.59188,12.47898,8.795233,14.13744,-2.004165,0.5037734,3.22173,-2.073073,0.4850773,3.22173,-2.103978,0.447311,3.020637,-2.069666,0.6805043,3.130919,-1.984724,0.4082897,3.22892,-2.135808,0.4319496,3.008132,-2.055182,0.6262808,3.271298,-1.95995,0.7286147,3.339923,-1.887314,0.6873015,3.24249,-2.115243,0.8090438,3.107433,5,0,
201610051557399380,58.09379,46.28316,-59.08554,61.44998,136.9717,2.480188,-51.20512,133.4854,-169.8281,-46.28994,149.7569,157.0587,-125.8751,44.3492,138.0998,123.2573,128.194,136.1712,0.1687756,134.1011,46.73387,-58.96857,65.84922,61.24839,3.83445,-6.107091,0.1748867,6.628164,114.8025,17.05308,-67.10315,113.7876,144.9816,27.01585,135.3543,150.0017,12.04353,12.58222,9.619586,14.73885,-2.006232,0.5089725,3.30186,-2.073822,0.48907,3.30186,-2.104082,0.4428815,3.097827,-2.088464,0.6755548,3.184628,-1.978562,0.4131169,3.313488,-2.153854,0.423065,3.067379,-2.054928,0.6299915,3.354176,-1.956535,0.7372604,3.428798,-1.880841,0.6830443,3.319551,-2.118435,0.8099726,3.188831,5,0,
201610051557399701,56.22451,44.46498,-55.9991,59.87553,134.6736,10.98943,-19.97078,132.1154,-173.2858,-72.70541,152.1756,157.614,-125.1321,39.77229,148.2103,121.0002,69.20319,137.1454,13.96677,134.7574,46.92487,-59.06344,70.68764,61.35372,3.776172,-2.983262,-0.2198357,6.145249,113.1142,16.74812,-18.64909,112.4549,149.8648,63.00907,147.3009,152.8448,11.84453,12.75561,12.98406,15.10163,-2.106344,0.511228,3.293476,-2.172186,0.4883379,3.293476,-2.196651,0.4385564,3.085264,-2.185862,0.6775283,3.166336,-2.074456,0.4174898,3.310095,-2.250446,0.4247814,3.046751,-2.156602,0.6327009,3.346221,-2.06216,0.7447001,3.431393,-1.979144,0.6802894,3.317575,-2.218834,0.8095084,3.181478,5,0,
201610051557400072,53.31653,44.34958,-53.82132,57.98917,132.1333,19.43861,8.847466,130.5004,-176.3657,-97.12627,156.404,158.3596,-124.232,35.827,155.8,118.4421,14.19254,140.6264,-19.63552,138.2712,47.48973,-59.12197,73.47516,61.42127,3.687632,-1.010425,-0.4068601,5.606838,111.8078,17.00743,29.04927,111.647,153.2945,95.74989,156.7111,154.2918,11.73859,12.87045,14.47994,15.29596,-2.10857,0.513113,3.345228,-2.17578,0.4880247,3.345228,-2.198786,0.4313462,3.137843,-2.190789,0.6789961,3.207145,-2.068077,0.423908,3.374266,-2.257953,0.4262388,3.086734,-2.161543,0.6350411,3.398171,-2.066114,0.7505952,3.488683,-1.979033,0.6792244,3.367572,-2.225706,0.8092914,3.233877,5,0,
